Tweets,id,len,date,time,source,likes,retweets
@JsJayeshgshah We have escalated your request with Kandivali Traffic Division for necessary action.,1578759561510801409,99,2022-10-08,14:49:46,Twitter Web App,0,0
@SPagdhiwala We have escalated your request with Santacruz Traffic Division for necessary action.,1578758753637511168,97,2022-10-08,14:46:33,Twitter Web App,0,0
@ejvinit We are sharing your concern with D N Nagar Traffic Division for necessary stringent action.,1578757759679762433,100,2022-10-08,14:42:36,Twitter Web App,0,0
@parekhdeepak सदर तक्रार आमच्या निर्दशनास आणून दिल्याबद्दल धन्यवाद. आम्ही आपली तक्रार संबंधित विभागाला कळविली आहे,1578756803776909312,113,2022-10-08,14:38:48,Twitter Web App,0,0
@amangoeliitb Powai Traffic Division has been informed for prompt action.,1578754959512080384,73,2022-10-08,14:31:28,Twitter Web App,2,0
@RavindraAdhav1 We have intimated your concern to Powai traffic branch for necessary action.,1578753758892552193,92,2022-10-08,14:26:42,Twitter Web App,0,0
@sandesh_samant We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578751455905067008,96,2022-10-08,14:17:33,Twitter Web App,0,0
@1desh1law1 Please provide the exact location for necessary action,1578748790764638209,66,2022-10-08,14:06:58,Twitter Web App,0,0
@abeeraks Powai Traffic Division has been informed for prompt action.,1578748261024018433,69,2022-10-08,14:04:51,Twitter Web App,0,0
@gallinews Pydhunie Traffic Division has been informed for prompt action.,1578747826011770880,73,2022-10-08,14:03:08,Twitter Web App,1,0
@SainikMi Chembur Traffic Division has been informed for prompt action.,1578747366127308803,71,2022-10-08,14:01:18,Twitter Web App,0,0
@pixiehopes We have escalated your request with Powai Traffic Division for necessary action.,1578747008730697728,92,2022-10-08,13:59:53,Twitter Web App,0,0
@VK_Andheri We have escalated your request with DN Nagar Traffic Division for necessary action.,1578746843915485185,95,2022-10-08,13:59:13,Twitter Web App,0,0
@ambika_poojari Action taken on above mentioned vehicle u/s 122/177 of M.V. Act.,1578746639132819457,80,2022-10-08,13:58:25,Twitter Web App,0,0
@bhumiirparwani Action taken on above mentioned vehicle u/s 122/177 of M.V. Act.,1578746178115866625,80,2022-10-08,13:56:35,Twitter Web App,0,0
@mashrujeet We have intimated your concern to Dadar traffic branch for necessary action.,1578742291292094464,88,2022-10-08,13:41:08,Twitter Web App,0,0
@Pawankumarkewal We have forwarded your concern to Mankhurd Traffic Division for necessary action.,1578741128618455040,98,2022-10-08,13:36:31,Twitter Web App,0,0
@DrRohanbadguja2 We have intimated your concern to BKC traffic branch for necessary action.,1578737863017238528,91,2022-10-08,13:23:32,Twitter Web App,0,0
@BycullaACI We are sharing your concern with Nagpada Traffic Division for necessary stringent action.,1578736898453172230,101,2022-10-08,13:19:42,Twitter Web App,0,0
@1Huzaifashaikh पुढील कारवाईसाठी आम्ही पायधुनी वाहतूक विभागाला कळवले आहे,1578734916376068097,72,2022-10-08,13:11:50,Twitter Web App,0,0
@Bellatrix_Stark We have forwarded your concern to Kandivali Traffic Division for necessary action.,1578733138381254656,99,2022-10-08,13:04:46,Twitter Web App,0,0
